Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MARIAPPS MARINE SOLUTIONS INDIA PVT,40930.0,40930.0,40930.0,40930.0,40930.0,40930.0,21700.0,22660.0,22660.0,22660.00000000024
MARIAPPS MARINE SOLUTIONS P. LTD.,2960.0,2960.0,3864.0,4768.0,5672.0,6576.0,7480.0,7480.0,7480.0,7480.000000000229
MARIKAR IMPORT & EXPORT,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.000000000231
MARINE CHEMICALS,195518.0,141137.0,141137.0,141137.0,141137.0,141137.0,141137.0,141137.0,141137.0,141137.00000000017
MARINE FINS,170100.0,170100.0,170100.0,170100.0,170100.0,170100.0,170100.0,170100.0,170100.0,170100.0000000002
MARINE HARVEST INDIA,37899.0,37899.0,37899.0,37899.0,37899.0,37899.0,37899.0,37899.0,37899.0,37899.000000000226
MARINE HYDROCOLLOIDS,171212.0,171212.0,188143.0,241848.0,223740.0,236247.0,351900.0,544553.0,646334.0,646333.9999999998
MARINETEK INDIA SERVICE P. LTD.,1951.0,1951.0,1951.0,1951.0,1951.0,1951.0,1951.0,1951.0,1951.0,1951.0000000002324
MARITIUS WEDDING CARDS AND,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.000000000231
MARIYA HEALTH CARE PRODUCTS,35531.0,9924.0,8483.0,8483.0,8483.0,8483.0,8483.0,8483.0,8483.0,8483.000000000216
MARIYA HEALTHCARE P. LTD.,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.000000000231
MARIYALAYAM MUNROE,11635.0,11635.0,11635.0,11635.0,11635.0,11635.0,11635.0,11635.0,11635.0,11635.000000000231
MARIYAM CASHEW INDUSTRIES ,83074.0,17720.0,17720.0,17720.0,17720.0,17720.0,17720.0,17720.0,17720.0,17720.00000000019
MARJAN EXPORTS,45240.0,45240.0,45240.0,45240.0,45240.0,45240.0,45240.0,45240.0,45240.0,45240.000000000226
MARK,39450.0,25636.0,7650.0,7650.0,7650.0,7650.0,7650.0,7650.0,7650.0,7650.0000000002265
MARK 4 ENTERPRISE,21262.0,21262.0,21262.0,21262.0,21262.0,21262.0,21262.0,21262.0,21262.0,21262.00000000023
MARK DEVICE,10640.0,10640.0,10640.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0000000002427
MARK DISTRIBUTORS,517.0,517.0,517.0,517.0,10544.0,23009.5,35475.0,35475.0,35475.0,35475.00000000021
MARK IMPEX & TRADING,27200.0,27200.0,36500.0,20292.5,4085.0,4085.0,4085.0,4085.0,4085.0,4085.0000000002337
MARK TRADING COMPANY,40168.0,40168.0,40168.0,40168.0,40168.0,13059.0,25463.0,25463.0,25463.0,25463.000000000255
MARKSMEN MARINE PRODUCTS PVT. LTD.,76490.0,76490.0,76490.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.000000000284
MARKSUN DYESTUFF INDUSTRIES,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.000000000226
MAROTTICKAL COIR WORKS,118592.0,118592.0,118592.0,118592.0,118592.0,118592.0,118592.0,118592.0,118592.0,118592.0000000002
MAROTTICKAL RESIDENCY,7346.0,7346.0,7346.0,7346.0,7346.0,7346.0,7346.0,7346.0,7346.0,7346.000000000231
MARRIOTT AIRPORT HOTEL,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0000000002326
MARROTICKAL RESIDENCY,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.0,6245.000000000232
MARS INDIA EXPORTS,812.0,812.0,812.0,812.0,812.0,812.0,812.0,812.0,812.0,812.0000000002327
MARTINS ELECTRONIC DEVICES & INSTRUMENTS,152.0,152.0,59.0,152.0,152.0,152.0,152.0,152.0,152.0,152.00000000023272
MARUTHAM STEELS INDUSTRIES,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.000000000231
MARUTHI STEELS,209710.0,209710.0,822720.0,971790.0,457160.0,457160.0,457160.0,457160.0,457160.0,457159.9999999994
MARVA TRADINGS,10120.0,10120.0,10120.0,10120.0,10120.0,10120.0,10120.0,10120.0,10120.0,10120.000000000231
MARVEL TRADING COMPANY,10944.0,10944.0,10944.0,10944.0,10944.0,10944.0,10944.0,10944.0,10944.0,10944.000000000231
MARWA SEAFOODS,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.00000000023
MARYGO INTERNATIONAL EXPORTERS & IMPORTERS,731460.0,1719885.0,1262123.0,1190079.0,639341.0,472816.0,304423.0,304423.0,304423.0,304423.00000000076
MAS ENTERPRISES,14975.0,38686.33,62397.67,86109.0,550.0,11512.5,22475.0,1100.0,3280.0,3280.0000000001482
MAS MAKE POLYMERS,14290.0,42240.0,42240.0,42240.0,42240.0,42240.0,42240.0,42240.0,42240.0,42240.00000000024
MAS PLASTICS ,7240.0,7240.0,7240.0,7240.0,7240.0,7240.0,7240.0,7240.0,32180.0,32180.000000000222
MAS PLYWOODS,12858.0,12858.0,12858.0,19742.0,26626.0,26626.0,26626.0,26626.0,26626.0,26626.00000000023
"MASAFI DEVELOPERS PVT LTD,",168521.0,168521.0,168521.0,168521.0,168521.0,168521.0,168521.0,168521.0,168521.0,168521.0000000002
MASALA BOX FOOD NETWORK P. LTD.,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.000000000232829
MASASHI TRADEIMPEX P. LTD.,4186.0,2938.0,1690.0,3229.6,4769.2,6308.8,7848.4,9388.0,9388.0,9388.000000000226
MASCOM STEEL (INDIA) P. LTD.,652400.0,652400.0,652400.0,652400.0,652400.0,652400.0,652400.0,652400.0,652400.0,652400.0000000001
MASCONS ENGINEERING & CONTRACTING CO. LTD.,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0000000002324
MASCOT BEACH RESORT,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0000000002324
MASH AGENCIES,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0000000002328
MASNA EXPORTS & IMPORTS,97386.0,101925.0,63640.0,27360.0,27360.0,27360.0,27360.0,27360.0,27360.0,27360.000000000273
MASON IMPEX P. LTD.,696000.0,696000.0,696000.0,696000.0,696000.0,696000.0,696000.0,696000.0,696000.0,696000.0000000001
MASRAH TRADING  & COMPANY,7310.0,7310.0,7310.0,7310.0,7310.0,7310.0,7310.0,7310.0,7310.0,7310.000000000231
MASS CASHEWS,105238.0,105238.0,105238.0,105238.0,105238.0,105238.0,105238.0,105238.0,105238.0,105238.00000000022
MASS POLYMERS,4215.0,4215.0,4215.0,4215.0,4215.0,4215.0,4215.0,4215.0,4215.0,4215.000000000232
MASS TRADELINKS,24470.0,24470.0,24470.0,24470.0,24470.0,24470.0,24470.0,24470.0,111390.0,111390.00000000019
MASTEK ENGINEERING P. LTD.,36077.0,36077.0,36077.0,36077.0,36077.0,36077.0,36077.0,36077.0,36077.0,36077.000000000226
MASTER CRAFTSMAN INDIA P. LTD.,7005.0,7005.0,7005.0,7005.0,7005.0,7005.0,7005.0,7005.0,7005.0,7005.000000000231
MASTER INDUSTRIES,160355.0,109807.0,109807.0,109807.0,109807.0,109807.0,109807.0,109807.0,109807.0,109807.00000000017
MASTERFREE SECUTIRY SYSTEM P. LTD.,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.00000000023282
MASTERS EQUIPMENTS,3645.0,3645.0,3645.0,3645.0,3645.0,3645.0,3645.0,3645.0,3645.0,3645.000000000232
MASTROTECH COMPUTRONICS P. LTD.,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0000000002328
MASUM TRADELINK PVT LTD,532220.0,532220.0,532220.0,532220.0,532220.0,532220.0,532220.0,532220.0,379400.0,379400.0000000002
MATA AMRITANANDAMAYI MATH,12275.0,9242.0,7221.0,8814.33,10407.67,12001.0,13594.33,15187.67,16781.0,16781.000000000222
MATEX,56700.0,56700.0,77723.0,75004.0,43512.0,43512.0,43512.0,43512.0,43512.0,43512.0000000002
MATHA AMRITANATHMAI MISSION,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0000000002326
MATHA CASHEW PROCESSING,49970.0,49970.0,49970.0,49970.0,49970.0,49970.0,49970.0,49970.0,49970.0,49970.000000000226
MATHA CHEMES,1188000.0,1631575.0,1150410.0,1423036.0,986580.0,849555.0,602910.0,602910.0,602910.0,602910.0000000001
MATHA WOOD INDUSTRIES,70494.0,357061.0,1460329.0,894746.0,21444.0,1033240.0,548741.5,64243.0,64243.0,64242.99999999957
MATHEW GEORGE,5642.0,5642.0,5642.0,5642.0,5642.0,5642.0,5642.0,5642.0,5642.0,5642.000000000232
MATHRUKA PRACHARANALAYAM LTD,49866.0,49866.0,49866.0,49866.0,49866.0,49866.0,49866.0,49866.0,49866.0,49866.000000000226
MATHSTRAMAN MANUFACTURES TRADERS P. LTD.,10115.0,10115.0,10115.0,10115.0,10115.0,10115.0,10115.0,10115.0,10115.0,10115.000000000231
MATRIX ELECTRONICS,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0000000002324
MATRIX EXPORTS AND IMPORTS,16510.0,16510.0,16510.0,5390.0,5390.0,5390.0,5390.0,5390.0,5390.0,5390.000000000243
MATRIX FLAVOURS AND FRAGRANCES (INDIA) P. LTD.,2360.0,2360.0,590.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0000000002331
MATRIX STORE,6478.0,6478.0,6478.0,6478.0,16429.0,3280.0,173639.0,164380.0,121072.0,121072.00000000015
MATSYAFED KERALA STATE CO-OP. FED. FOR,27306.0,33027.0,38748.0,56349.0,87423.0,33683.0,33683.0,33683.0,33683.0,33683.0000000003
MATTANNUR AREA DEVELOPMENT AND CONSULTING P. LTD.,27026.0,27026.0,27026.0,27026.0,27026.0,27026.0,27026.0,27026.0,27026.0,27026.00000000023
MAUMIX CONSTRUCTION SOLUTIONS,25950.0,25950.0,25950.0,25950.0,25950.0,25950.0,25950.0,25950.0,25950.0,25950.00000000023
MAX BOND INDUSTRIES,51000.0,66500.0,82000.0,82000.0,82000.0,82000.0,82000.0,82000.0,82000.0,82000.00000000022
MAX INTERNATIONAL FOOTCARE P. LTD.,5500.0,5500.0,5500.0,5666.67,5833.33,6000.0,6000.0,6000.0,6000.0,6000.000000000232
MAX LINE INC.,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.000000000231
MAX SHIELD RUBBER PRODUCTS PVT. LTD.,8390.0,5075.0,1760.0,2553.0,3346.0,4139.0,4932.0,5725.0,6518.0,6518.000000000228
MAX WOOD ART,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.000000000232
MAXIM DISPLAY SYSTEMS,10330.0,4594.0,14600.0,14600.0,14600.0,14600.0,14600.0,14600.0,14600.0,14600.000000000224
MAXOLID BUILDTECH P. LTD.,8533.0,8533.0,8533.0,8533.0,8533.0,8533.0,8533.0,8533.0,8533.0,8533.000000000231
MAXOLID ENTERPRISES,23579.0,23579.0,23579.0,23579.0,66264.0,50111.0,33958.0,17805.0,17805.0,17805.000000000306
MAXPO IMPEX LLP,129800.0,129800.0,129800.0,129800.0,129800.0,129800.0,129800.0,129800.0,129800.0,129800.0000000002
MAXWELL MENDEZ,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.00000000023277
MAXWELL PLYWOOD INDUSTRIES,452800.0,452800.0,452800.0,452800.0,452800.0,50500.0,54500.0,53000.0,53000.0,53000.0000000007
MAXX DELICACY,2356.0,2356.0,2356.0,2356.0,2356.0,2356.0,2356.0,2356.0,2356.0,2356.0000000002324
MAXX TECH DISTRIBUTION,1349.0,1349.0,1349.0,2074.5,2800.0,5743.5,8687.0,8687.0,8687.0,8687.000000000226
MAXXTECH DISTRIBUTION,14620.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0000000002265
MAY FLOWER MARKETING,56062.0,56062.0,56062.0,56062.0,56062.0,56062.0,56062.0,56062.0,56062.0,56062.00000000022
MAYA PRINTERS,41905.0,41905.0,41905.0,41905.0,41905.0,41905.0,41905.0,41905.0,41905.0,41905.000000000226
MAYAMATA INTERIORS & TRADES P. LTD.,1765.0,3245.0,4725.0,4725.0,4725.0,4725.0,4725.0,4725.0,4725.0,4725.000000000232
MAYFLOWER INTERNATIONAL,21792.0,21792.0,21792.0,21792.0,21792.0,21792.0,21792.0,21792.0,21792.0,21792.00000000023
MAYUR IMPORTS AND EXPORTS,149800.0,149800.0,149800.0,149800.0,149800.0,149800.0,149800.0,149800.0,187840.0,187840.0000000002
MAYUR PLYWOODS,79913.0,79913.0,52540.0,52540.0,52540.0,52540.0,52540.0,52540.0,52540.0,52540.00000000023
MAYYANAD HIGH SCHOOL,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.000000000231
MAZIN IMPORTS AND EXPORTS,41767.0,72270.0,8260.0,8260.0,8260.0,8260.0,8260.0,8260.0,8260.0,8260.00000000026
MCF FOODS INDIA P. LTD.,1507672.0,1507672.0,1507672.0,1507672.0,1507672.0,1507672.0,1507672.0,1507672.0,1507672.0,1507672.0
MCT CARDS & TECHNOLOGY P. LTD.,620.0,620.0,3324.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0000000002355
ME POLYMERS P. LTD.,9520.0,9520.0,9520.0,9520.0,9520.0,9520.0,9520.0,9520.0,9520.0,9520.000000000231
MEBRAN SPICES P. LTD.,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.000000000231
MECH PLASTECH,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0000000002324
MECHATECHNO IMPORT & EXPORT P. LTD.,7180.0,7180.0,7180.0,7180.0,7180.0,7180.0,7180.0,62292.0,32151.0,32151.000000000182
MECHELEC,760.0,760.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0000000002327
MECKAMALIL POLYMERS P. LTD.,66300.0,278350.0,712000.0,133500.0,576300.0,576300.0,576300.0,576300.0,576300.0,576300.000000001
MECKAVO SPORTS INFRA P. LTD.,237790.0,237790.0,237790.0,237790.0,237790.0,237790.0,237790.0,237790.0,237790.0,237790.00000000017
MEDCARE SURGICALS,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.000000000232
MEDDENT TRADERS AND EXPORTERS LLP.,3433.0,3433.0,3433.0,3433.0,3433.0,3433.0,3433.0,3433.0,3433.0,3433.000000000232
MEDI BRIGHT SURGICALS,2138.0,2138.0,2138.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0000000002306
MEDI DENT TRADING,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0000000002324
MEDIA PLY AND BOARDS,13577.0,13577.0,13577.0,18384.67,23192.33,28000.0,28000.0,28000.0,28000.0,28000.00000000022
MEDIAPRO AUDIO VISUAL P. LTD.,12960.0,12960.0,12960.0,12960.0,12960.0,12960.0,12960.0,12960.0,12960.0,12960.000000000231
MEDICAL COLLEGE,17643.0,17643.0,17643.0,10086.5,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0000000002337
MEDICAL MISSION HOSPITAL,2282.0,2282.0,2282.0,2282.0,2282.0,2282.0,2282.0,2282.0,2282.0,2282.0000000002324
MEDICAL SIMULATIONS ,1278.0,1278.0,1278.0,5442.0,5442.0,5442.0,5442.0,5442.0,5442.0,5442.000000000227
MEDICAL TRUST HOSPITAL ,9308.0,9308.0,9308.0,9308.0,9308.0,9308.0,9308.0,9308.0,9308.0,9308.000000000231
MEDICARE EXPORTERS,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,14010.0,20720.0,20720.00000000022
MEDICENTRE PHARMACEUTICAL DISTRIBUTORS,2801.0,2801.0,2801.0,2801.0,2801.0,2801.0,2801.0,2801.0,2801.0,2801.0000000002324
MEDIFILTER PRODUCTS P. LIMITED,21924.0,21924.0,21924.0,21924.0,21924.0,21924.0,21924.0,21924.0,31086.0,31086.000000000226
MEDILIFE MATTRESSES,7140.0,7140.0,7140.0,7140.0,7140.0,7140.0,7140.0,7140.0,7140.0,7140.000000000231
MEDIO,4736.0,4736.0,4736.0,4736.0,4736.0,12684.0,20632.0,149840.0,149840.0,149840.00000000006
MEDIO INDUSTRIES LTD.,272202.0,272202.0,272202.0,272202.0,272202.0,272202.0,272202.0,272202.0,272202.0,272202.0000000002
MEDISTRO HEALTH CARE,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0,10920.0,5200.0,3252.0,3252.000000000234
MEDLACE DISPOSABLES,21830.0,21830.0,21830.0,18554.0,15278.0,12002.0,8726.0,5450.0,5450.0,5450.000000000241
MEDMAA TRADING P. LTD.,6626.0,6626.0,6626.0,6626.0,6626.0,6626.0,6626.0,6626.0,6626.0,6626.000000000232
MEDSOL,8920.0,8920.0,8920.0,8920.0,8920.0,8920.0,8920.0,8920.0,8920.0,8920.000000000231
MEENACHIL PLYWOOD,26500.0,26500.0,26500.0,26500.0,26500.0,26500.0,26500.0,26500.0,26500.0,26500.00000000023
MEET MARKETING (I) PVT LTD,27108.0,27108.0,27108.0,27108.0,27108.0,27108.0,27108.0,27108.0,27108.0,27108.00000000023
MEETEL COMPUTERS AND COATEDPAPER,48868.0,48868.0,48868.0,48868.0,48868.0,48868.0,48868.0,48868.0,48868.0,48868.000000000226
MEEVER INDIA P. LTD.,96700.0,96700.0,96700.0,96700.0,96700.0,76032.0,334994.0,1955148.0,1424025.0,1424024.9999999984
MEEZAN ELECTRONIC SCALES PVT LTD.  ,5855.0,4750.0,8021.0,20113.0,51333.0,172736.0,16874.0,4438.0,4438.0,4438.000000000203
MEGA EXPORTERS,36682.0,11596.0,11596.0,11596.0,11596.0,11596.0,11596.0,11596.0,11596.0,11596.000000000216
MEGA TECH,26350.0,26350.0,26350.0,26350.0,26350.0,26350.0,26350.0,26350.0,26350.0,26350.00000000023
MEGALIUM MANUFACTURERS & TRADERS P. LTD.,215437.0,215437.0,254208.0,400900.0,57480.0,57480.0,57480.0,57480.0,57480.0,57479.99999999978
MEGHA FLOWERS,22940.0,22940.0,22940.0,22940.0,22940.0,45240.0,45240.0,45240.0,45240.0,45240.0000000002
MEGHA PLY & BOARDS,140410.0,140410.0,140410.0,140410.0,140410.0,140410.0,140410.0,140410.0,140410.0,140410.0000000002
MEHALA MILLS,15520.0,15520.0,15520.0,15520.0,15520.0,15520.0,15520.0,15520.0,15520.0,15520.00000000023
MEIGMA WALLCOATINGS PRIVATE LTD.,9447.0,9447.0,9447.0,9447.0,9447.0,9447.0,9447.0,9447.0,9447.0,9447.000000000231
MEKHA PLY & BOARDS,13172.0,13172.0,13172.0,13172.0,13172.0,13172.0,13172.0,13172.0,13172.0,13172.000000000231
MEKKATTIL AGENCIES,5380.0,5380.0,5380.0,5380.0,5380.0,5380.0,12186.0,12010.0,12010.0,12010.000000000227
MEL FLOORINGS P. LTD.,9375.0,9375.0,25764.29,42153.57,58542.86,74932.14,91321.43,107710.71,124100.0,124100.00000000016
MELBON FURNITURE TRADING INC.,33430.0,33430.0,33430.0,26660.0,71433.0,71433.0,71433.0,71433.0,71433.0,71433.00000000026
MELBOURNE MEDIA FACTORY,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0000000002324
MELITA INDUSTRIES PVT LTD,8697.0,8697.0,8697.0,8697.0,23390.0,23390.0,23390.0,23390.0,23390.0,23390.00000000024
MEMPHIS PRINTING & PUBLISHING P. LTD.,41500.0,21850.0,2200.0,11014.0,45282.0,53086.5,60891.0,68695.5,76500.0,76500.0000000002
MENTOR PERFORMANCE RATING PVT LTD,13580.0,13580.0,13580.0,13580.0,13580.0,13580.0,13580.0,13580.0,13580.0,13580.000000000231
MERAKI BY WOOD CULTURE,3850.0,3850.0,3850.0,3850.0,3850.0,3850.0,4360.0,4870.0,5380.0,5380.000000000231
MERCHANT AGRI GLOBAL P. LTD.,1019440.0,1019440.0,1019440.0,1019440.0,1019440.0,1019440.0,1019440.0,1019440.0,1019440.0,1019440.0
MERCHEM LTD.,78839.0,78839.0,78839.0,78839.0,78839.0,78839.0,78839.0,78839.0,78839.0,78839.00000000022
MERCURY IMPEX,289558.0,289558.0,289558.0,289558.0,289558.0,289558.0,289558.0,289558.0,289558.0,289558.0000000002
MEREENA TRADING AND EXPORTS,28224.0,28224.0,28224.0,28224.0,28224.0,28224.0,28224.0,28224.0,28224.0,28224.000000000226
MEREO AUTO GALLERY LLP,6053.0,6053.0,6053.0,6053.0,6053.0,6053.0,6053.0,6053.0,6053.0,6053.000000000232
MERGE MECHANO,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.00000000023283
MERMAID DIGITAL POLYMERS (P) LTD ,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0000000002326
MERMER ITALIA BUILDING PRODUCTS (P) LTD.,714790.0,1010045.0,320950.0,320950.0,320950.0,320950.0,320950.0,320950.0,320950.0,320950.00000000047
MERRY  KIDS,2506.0,2506.0,2506.0,2506.0,2506.0,2506.0,2506.0,2506.0,2506.0,2506.0000000002324
MERSTEGIEN MARKETING P. LTD.,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0000000002327
MESVAY ASSOCIATES,9765.0,9765.0,9765.0,9765.0,13290.0,9959.0,17638.0,9220.0,9220.0,9220.00000000024
METACHEM,37646.0,37646.0,37646.0,37646.0,37646.0,37646.0,37646.0,37646.0,37646.0,37646.000000000226
METACOATS ALUMINIUM P. LTD.,4587.0,4587.0,4587.0,4587.0,4587.0,4587.0,4587.0,4587.0,4587.0,4587.000000000232
METAL CRAFT,16150.0,16150.0,16150.0,16150.0,16150.0,16150.0,16150.0,16150.0,16150.0,16150.00000000023
METAL FORMS,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0000000002326
METAL LAND INDUSTRIES,12166.0,12166.0,12166.0,12166.0,12166.0,12166.0,12166.0,12166.0,12166.0,12166.000000000231
METAL POWDER COMPANY LTD.,40120.0,41105.0,42090.0,43075.0,44060.0,45045.0,46030.0,47015.0,48000.0,48000.000000000226
METALEX AGENCIES,25000.0,18944.5,12889.0,92700.0,92700.0,92700.0,92700.0,92700.0,92700.0,92700.00000000013
METALS AND MACHINERY,105825.0,105825.0,105825.0,105825.0,105825.0,105825.0,105825.0,105825.0,105825.0,105825.00000000022
METCROP OVERSEAS,16540.0,16540.0,16540.0,16540.0,16540.0,16540.0,16540.0,16540.0,16540.0,16540.00000000023
METHAR TRADING COMPANY,79113.0,79113.0,79113.0,47221.0,54025.0,14030.0,13030.0,13206.0,13382.0,13382.000000000317
METLEX,634588.0,634588.0,634588.0,841881.0,130743.0,130743.0,130743.0,130743.0,130743.0,130742.99999999942
METRENDS LEATHERS PVT LTD.,8070.0,8070.0,8070.0,8070.0,8070.0,8070.0,8070.0,8070.0,8070.0,8070.000000000231
METRO AGENCIES,25051.0,25051.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.00000000022
METRO BOOTS SQUARE,18840.0,18840.0,18840.0,18840.0,18840.0,8340.0,11928.0,8610.0,8610.0,8610.000000000244
METRO HOME WORLD,4372.0,4372.0,4372.0,4372.0,4372.0,4372.0,4372.0,4372.0,4372.0,4372.000000000232
METRO HOTEL EQUIPMENT & SUPPLIES P. LTD.,17944.0,10895.5,3847.0,3847.0,3847.0,3847.0,3847.0,3847.0,3847.0,3847.000000000229
METRO INTERNATIONAL CARDIAC CENTRE P. LTD.,6920.0,6920.0,6920.0,6920.0,6920.0,6920.0,6920.0,6920.0,6920.0,6920.000000000231
METRO MERCHANDISING,6373.0,6373.0,6373.0,6373.0,6373.0,9790.0,7876.67,5963.33,4050.0,4050.000000000231
METRO NUTS,4061.0,4061.0,4061.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0000000002337
METRO PLUS HYPER MARKET,5650.0,5650.0,5650.0,5650.0,5650.0,5650.0,5650.0,5650.0,5650.0,5650.000000000232
METRO PLY & BOARDS,16400.0,16400.0,16400.0,41200.0,66000.0,90800.0,12560.0,12560.0,12560.0,12560.000000000242
METRO PLY AND BOARDS,62802.0,62802.0,62802.0,62802.0,62802.0,62802.0,62802.0,62802.0,62802.0,62802.00000000022
METRO TRADE LINKS,12658.0,12658.0,12658.0,35050.0,35050.0,35050.0,35050.0,35050.0,35050.0,35050.000000000204
METRO TRADING,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.00000000022
METROCHEM,140210.0,111917.5,83625.0,55332.5,27040.0,27040.0,27040.0,27040.0,27040.0,27040.000000000226
METROLITE ROOFING PRIVATE LTD,68691.0,97396.0,21052.0,21052.0,21052.0,21052.0,21052.0,21052.0,21052.0,21052.00000000026
METROLLA STEELS LTD.,5161655.0,2885026.0,2946935.0,2708209.17,2469483.33,2230757.5,1992031.67,1753305.83,1514580.0,1514579.9999999993
METROTEX LLP,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.000000000231
METSO INDIA PRIVATE LIMITED.,181870.0,181870.0,181870.0,181870.0,181870.0,181870.0,181870.0,181870.0,181870.0,181870.0000000002
METSTAR INDUSTRIES LTD.,2631128.0,2631128.0,2631128.0,2631128.0,2631128.0,2631128.0,2631128.0,2631128.0,6554.0,6554.000000000574
MEZHUKKATTIL MILLS  ,148098.0,643772.5,1139447.0,2320140.0,2928658.0,3183753.0,2366788.0,248280.0,2078760.0,2078760.0000000012
MGM MARKETING,23800.0,23800.0,23800.0,23800.0,23800.0,23800.0,23800.0,23800.0,23800.0,23800.00000000023
MGM RESOURECES PRIVATE LIMITE,4762.0,4762.0,4762.0,4762.0,4762.0,4762.0,4762.0,4762.0,4762.0,4762.000000000232
MI TRANS INTERNATIONAL,197820.0,197820.0,197820.0,197820.0,197820.0,197820.0,197820.0,197820.0,197820.0,197820.0000000002
MICHAEL EXPORT AND IMPORT P. LTD.,20365.0,20365.0,20365.0,32474.0,7300.0,6210.0,9900.0,5560.0,9472.0,9472.0000000002
MICHAEL VINEESH VARGHESE                       ,9350.0,9350.0,9350.0,9350.0,9350.0,9350.0,9350.0,9350.0,9350.0,9350.000000000231
MICHAELS AGENCIES,505410.0,249502.0,547082.0,174305.0,173366.0,274003.0,232500.0,147885.0,63270.0,63270.000000000386
MICHELLE OPTICAL INDUSTRIES,165.0,220.5,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0000000002328
MICRO HEALTH LABORATORIES,7365.0,7365.0,7365.0,7365.0,7365.0,7365.0,7365.0,7365.0,7365.0,7365.000000000231
MICRO METACHEM INDUSTRIAL PRODUCTS,27308.0,27308.0,27308.0,27308.0,27308.0,27308.0,27308.0,27308.0,27308.0,27308.000000000226
MICRO PLYWOODS,87140.0,87140.0,87140.0,87140.0,87140.0,87140.0,87140.0,87140.0,87140.0,87140.00000000022
MICROTECK SYSTEMS & SOLUCTIONS,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0000000002327
MID ASIA INTERNATIONAL LLP,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.000000000226
